text,label,text_length,word_count,processed_text,char_count,avg_word_length,punctuation_count,uppercase_count
how do i get a refund for a direct debit payment i didn't make,28,62,14,get refund direct debit payment didnt make,62,3.5,1,0
Are you able to guide me to my card's location?,41,47,10,able guide card location,47,3.8,2,1
I was mugged yesterday and they took everything.  I can't access my app.  What are my next steps?,42,97,18,mugged yesterday took everything cant access app next step,97,4.333333333333333,4,3
Why didnt my top up go through,61,30,7,didnt top,30,3.4285714285714284,0,1
I would like to make a transfer. How much does it cost?,56,55,12,would like make transfer much cost,55,3.6666666666666665,2,2
How do I start an exchange between GBP and AUD?,33,47,10,start exchange gbp aud,47,3.8,1,8
"I need a second card, can I have more than one?",39,47,11,need second card one,47,3.3636363636363638,2,2
Will it cost anything to top up a US card?,57,42,10,cost anything top card,42,3.3,1,3
How do I retrieve my card from the machine?,18,43,9,retrieve card machine,43,3.888888888888889,1,2
What are some of the restrictions that the disposable cards have?,29,65,11,restriction disposable card,65,5.0,1,1
Can I use American express with apple pay? Why does it make my top up not work?,2,79,17,use american express apple pay make top work,79,3.7058823529411766,2,4
"I tried taking money from the ATM but no money came out, but the transaction is still pending? How is this possible?",46,116,22,tried taking money atm money came transaction still pending possible,116,4.318181818181818,3,5
I'd like to know how transferring my money into my account works.,65,65,12,like know transferring money account work,65,4.5,2,1
My top-up was cancelled and I am writing to ask if I need to complete the 3D Secure authentication section before I submit it.,61,126,24,topup cancelled writing ask need complete secure authentication section submit,126,4.291666666666667,2,6
I want to get a Visa card,73,25,7,want get visa card,25,2.7142857142857144,0,2
Are you aware of any charges for receiving money?,56,49,9,aware charge receiving money,49,4.555555555555555,1,1
How do you verify an identity?,69,30,6,verify identity,30,4.166666666666667,1,1
I happened to forget my password,44,32,6,happened forget password,32,4.5,0,1
I can't find how to top up my account with a check.  Where is that?,58,67,15,cant find top account check,67,3.466666666666667,3,2
Can you please tell me how long it takes for the transfer to be available.,67,74,15,please tell long take transfer available,74,4.0,1,1
