text,label,text_length,word_count
I am still waiting on my card?,11,30,7
What can I do if my card still hasn't arrived after 2 weeks?,11,60,13
I have been waiting over a week. Is the card still coming?,11,58,12
Can I track my card while it is in the process of delivery?,11,59,13
"How do I know if I will get my card, or if it is lost?",11,54,15
When did you send me my new card?,11,33,8
Do you have info about the card on delivery?,11,44,9
What do I do if I still have not received my new card?,11,54,13
Does the package with my card have tracking?,11,44,8
I ordered my card but it still isn't here,11,41,9
Why has my new card still not come?,11,35,8
"I still haven't received my card after two weeks, is it lost?",11,61,12
Can you track my card for me?,11,29,7
Is there a way to track the delivery of my card?,11,48,11
It's been a week since I ordered my card and it's not here. Please help?,11,72,15
Will I be able to track the card that was sent to me?,11,53,13
I don't have my card in 1 week.  Should I be worried?,11,53,12
How do I know when my new card is going to arrive?,11,50,12
My new card has not been delivered to my home yet. What is going on?,11,68,15
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11,93,20
"On the card that is coming, what's the tracking info?",11,53,10
What is the status of my card's delivery?,11,41,8
Have you sent out my card yet?,11,30,7
My card isn't here yet.,11,23,5
where is my new card?,11,21,5
It's been a week since you sent my card and I still don't have it.,11,66,15
How do I track the card you sent me?,11,36,9
When will I recieve my new card?,11,32,7
When will I get my new card?,11,28,7
What is the expected delivery date for my card?,11,47,9
Is there a tracking number for the card you sent me?,11,52,11
I would like to track the card you sent to me.,11,46,11
Has my card been lost in delivery?,11,34,7
My new card hasn't came in.,11,27,6
Where is the card I ordered 2 weeks ago?,11,40,9
Can I get an update on my replacement card?,11,43,9
How long does it take for a new card to ship?,11,45,11
What's the tracking on the card you sent?,11,41,8
I haven't received my card and am worried it is lost.,11,53,11
My card still hasn't been delivered,11,35,6
I need to find out where the card is that I ordered.,11,52,12
Where is my credit card that was to be mailed?,11,46,10
I ordered my card but it hasn't been delivered yet,11,50,10
Am I able to track the card that was just sent to me?,11,53,13
Can you tell me why I haven't received my new card?,11,51,11
I'm still waiting for my new card.,11,34,7
Is my card lost? I am still waiting for it to be delivered.,11,59,13
Should I keep waiting for my card to be delivered?,11,50,10
Can I track when my card will be delivered?,11,43,9
How can I check on the status of my new card?,11,45,11
"A card has been sent to me, how do I track it?",11,46,12
Is there a way I can get my card expedited?,11,43,10
What can I do to track the card you sent me?,11,44,11
why hasnt my card come in yet?,11,30,7
How can I periodically check the delivery of the card you sent?,11,63,12
What's the reason my new card hasn't come?,11,42,8
How long does it take for me to get my new card?,11,48,12
I don't have my card after 1 week. What are my next steps?,11,58,13
I know I'm getting a new card but would like know when I can expect to receive it.,11,82,18
I want to find out what happened to my new card?,11,48,11
Was there a way for me to get tracking for that?,11,48,11
I am still waiting for my card.,11,31,7
My card hasn't arrived.,11,23,4
Can I track the card you sent to me?,11,36,9
I haven't gotten my new card.,11,29,6
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,11,103,23
Will I have to wait much longer for my new card to arrive?,11,58,13
how to track the card you sent,11,30,7
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,11,69,15
How can I check on the delivery status of my card?,11,50,11
"My card has not been delivered yet and its been a week since I ordered it, please help",11,86,18
What's the expected wait time to recieve my new card?,11,53,10
How can I see the progress of delivery of the card that was sent?,11,65,14
"My card was supposed to arrive, but hasn't?",11,43,8
I ordered a card and would like to know how to track the delivery progress of it.,11,81,17
How long will it take for me to get my card?,11,44,11
My card hasn't shown up yet.,11,28,6
Does the card you sent have a tracking number?,11,46,9
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,11,82,18
maximum how many days get the courier?,11,38,7
Is there a reason my new card hasn't arrived yet?,11,49,10
"I've been waiting a while for my card, is there a way to know when it will arrive?",11,82,18
How can I track my card's delivery?,11,35,7
Can I track the card that was just sent to me?,11,46,11
"If I ordered my new card last week, how much longer should I wait to receive it?",11,80,17
"What's go on, where is my new card?",11,35,8
Where is my new card if I haven't received it yet?,11,50,11
Where is my card?,11,17,4
Can you tell me why I haven't received my new card yet?,11,55,12
Is there a way to track my card?,11,32,8
Is there a way to track the new card you sent me?,11,49,12
I'm still waiting for my card.,11,30,6
What do I need to do to get my new card which I have requested 2 weeks ago?,11,75,18
WHAT IS THE SOLUTION OF THIS PROBLEM,11,36,7
Could I get tracking on the card?,11,33,7
Can you help me track my card?,11,30,7
Shouldn't my new card be here by now?,11,37,8
Is there a reason my new card hasn't arrived?,11,45,9
"I would like to track a card sent to me, how do I do that?",11,58,15
Is there a tracking number for the card?,11,40,8
can you share card tracking number?,11,35,6
"I have not received my card and it's been a week, what do I do?",11,63,15
Is there a way I can check on the card on route to me?,11,54,14
When will my new card arrive?,11,29,6
Why haven't I received my new card yet?,11,39,8
What is the expected delivery date of my card?,11,46,9
My card hasn't came in the mail yet?,11,36,8
I haven't received my card.,11,27,5
Is it possible for me to track the card is was mailed to me?,11,60,14
When will my new card be delivered?,11,35,7
I was issued a card about a week ago. why hasn't it come in yet?,11,64,15
Can you please tell me where my card is? I ordered it 2 weeks ago!,11,66,15
I still haven't received my card in the mail,11,44,9
I'm still waiting for my card that was issued a week ago. What should I do?,11,75,16
I still haven't gotten my new card.  When will it get here?,11,59,12
Do you have a tracking number for the card I was sent?,11,54,12
How do I track the card you sent to me?,11,39,10
Is my new bank card on the way and is there a way to track it?,11,62,16
Could you send me and up date on the arrival of my card?,11,56,13
How long does it take to recieve my new card?,11,45,10
My card has not come in the mail yet.,11,37,9
What's the card you sent me's tracking number?,11,46,8
i havent got my card,11,20,5
Why hasn't my card arrived yet?,11,31,6
I thought I would have received my new card at this point.,11,58,12
How long until my new card gets here?,11,37,8
How much longer until I get my new card?,11,40,9
Am I able to track a card that has already been sent?,11,53,12
Is it possible to track the card you sent me?,11,45,10
How long will it be to get this new card?,11,41,10
how can i track card you sent,11,29,7
Can the card was sen to me be tracked?,11,38,9
why have i not got my new card?,11,31,8
I need to track the card sent to me.,11,36,9
"It's been two weeks and I haven't gotten my card, what do I do?",11,63,14
I was expecting my new card by now.,11,35,8
Where is the tracking number for the card?,11,42,8
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,11,105,23
Can I track the card that you sent me in the mail?,11,50,12
Can you tell me if I can track the card you sent me?,11,52,13
Why have I not gotten my new card?,11,34,8
I'm still waiting on my new card to be delivered!,11,49,10
My new card isn't here and it was issued a week ago.,11,52,12
"I was supposed to receive my new card by now, but it hasn't came in.",11,68,15
Is a tracking number available for the card that was just sent?,11,63,12
Why haven't I gotten my new card?,11,33,7
Was there a number to track that I could get?,11,45,10
How much longer is it going to take to get my new card?,11,55,13
I haven't gotten my credit card in the mail.,11,44,9
My card hasn't arrived yet. What do I do?,11,41,9
"My card still hasn't arrived after two weeks, now what?",11,55,10
My card appears to have never arrived?,11,38,7
My card never arrived.,11,22,4
My card has been found. Is there any way for me to put it back into the app?,13,76,18
I was able to find my card. How to I go about putting it into my app?,13,69,17
how do I get my card to show in the app?,13,40,11
I just got my card.  It's not linked yet--how do I do that?,13,59,13
"lost card found, want to put it back in app",13,43,10
"I just got a card, how can I add it to the app?",13,47,13
Is there any way to see my card in the app?,13,43,11
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,13,103,25
I found my card. How can I put it into my app?,13,46,12
How do I make my card show up in the app?,13,41,11
Can you show me where to link the new card?,13,43,10
I found my old card. Can I link it back into the app?,13,53,13
"Show me how to link the new card,",13,33,8
How do I add an existing card to the app?,13,41,10
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,13,98,23
How do I link one of your card that I already have?,13,51,12
If I have a physical card can I link it?,13,40,10
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,13,90,18
Can I add a card that I just found (again) to the app?,13,54,13
How can I make my card show up in the app?,13,42,11
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",13,98,18
"Okay, I found my card, can I put it back in the app?",13,52,13
Can I reactivate a card?,13,24,5
I would like to reactivate a card and wondered if that could be done?,13,69,14
"I got my card now, how do I make it show up in the app?",13,55,15
How do I link an existing card?,13,31,7
How do I link a new card in the app?,13,36,10
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",13,104,22
I already have a card and want to link it,13,41,10
Can you please reactivate my card?,13,34,6
Where do I go to add a new card?,13,32,9
I want my card I just received to show up in the app. How do I do that?,13,71,18
"I received my card, how do I get it to show in the app?",13,55,14
If I have a credit card with you how I get set up to link to it?,13,64,17
How do I add my new card?,13,25,7
"I want to reactivate my card, I thought I had lost it but found it again this morning.",13,86,18
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",13,89,19
My card is no longer lost. How do I enter it back into the app?,13,63,15
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",13,86,19
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",13,94,18
How do I reactivate a card I thought I lost?,13,44,10
Help me figure out how to link the new card.,13,44,10
I found my lost card. Am I still able to use it?,13,48,12
Will I need a new card or can I put my old card back into the app?,13,66,17
Is there a way to link the card i just got?,13,43,11
How do I add a new card?,13,24,7
"I want to reactivate my card, I found it after thinking it was lost.",13,68,14
Can I put my old card back in the app?,13,38,10
"I got a new card, how do I link it?",13,35,10
I found the card I thought I lost this morning. Can I reactivate this card?,13,75,15
How do i go about linking a new card?,13,37,9
how do i get the card linked,13,28,7
"I have one of your cards, but I don't know how to link it.",13,58,14
how do I link an old card?,13,26,7
I received my card. How do I link it to the app?,13,48,12
"Now that I have my card, how do I connect it to the app?",13,56,14
How do I add the card I just received to show up in the app?,13,60,15
"I want to reactivate my card, I thought I had lost it but I found it.",13,69,16
What do I need to do to link my new card for my account?,13,56,14
Can I add a card to back into the app?,13,38,10
I want to link my new card. Can you help?,13,41,10
What is the process to link the new card?,13,41,9
"I found my card, am I able to put it back into the app?",13,55,14
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",13,148,31
Where can I link a new card?,13,28,7
How do I add a card on to the app?,13,34,10
"I found my card in my jacket this morning, so can I reactivate it?",13,66,14
"I've obtained the card, how do I enable it on the app?",13,54,12
I need to find the card I received in the app.,13,46,11
How do I get my card on the app?,13,32,9
"In the app, how can I make it show the new card that arrived?",13,61,14
How do I link my new card?,13,26,7
Can I activate a card in the app?,13,33,8
"I want to link to my card card with you, how?",13,45,11
I would like to link my card to my account.,13,43,10
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",13,123,26
How can I link the new card?,13,28,7
I got a new card and can't find where to link it.,13,49,12
"Hey, I have my card, how do I get it to show in the app?",13,56,15
Where in the app do I go to make my new card show up?,13,53,14
Where do I scan my card?,13,24,6
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,13,84,17
Can I link my card I previously received?,13,41,8
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",13,99,21
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",13,123,26
You sent me a card and now I want to link it.,13,45,12
How do I add my new card to the app?,13,36,10
Can I add a card back to the app?,13,33,9
What if I want to add a card I already have to the app?,13,55,14
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",13,85,17
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",13,98,20
Is there a way to link cards if I have one of yours?,13,52,13
If my card was lost or stolen can I re-link it?,13,47,11
How do I link a new card to an existing one?,13,44,11
How do I link a new payment card?,13,33,8
I would like to reactivate my card that I previously reported lost. I located the card this morning.,13,100,18
"Card has been received, how will it show up on the app?",13,55,12
Can I re-link a lost card with the app?,13,39,9
What do I do to link my new card?,13,33,9
Is it possible to link a new card?,13,34,8
I deactivated my card but would like to reactivate it.,13,54,10
"I found my card that I thought I had lost, I need to reactive it, please help.",13,78,17
can I link a card of yours I already have?,13,42,10
Can I put my found card back into the app on my phone?,13,54,13
"My card arrived but I need to make it work in the app, how do I do that?",13,72,18
